ward,pixel_count,mean,median,min,max
092,1160,49.21977233886719,49.23077392578125,43.486785888671875,54.267242431640625
093,1573,48.58006286621094,48.79840087890625,43.227020263671875,52.418060302734375
159,3754,51.406349182128906,52.409515380859375,41.637664794921875,56.331695556640625
167,1262,47.61278533935547,47.579864501953125,46.016143798828125,49.837493896484375
157,5067,48.109588623046875,48.193389892578125,40.76605224609375,55.733551025390625
166,1441,47.987545013427734,48.371124267578125,38.653717041015625,53.652008056640625
165,1288,47.56629180908203,47.549102783203125,45.657257080078125,50.292083740234375
163,842,48.1939582824707,48.142120361328125,45.940948486328125,50.801361083984375
197,9411,47.44547653198242,47.509796142578125,39.145904541015625,54.390289306640625
067,1000,49.58419418334961,49.516204833984375,47.291046142578125,51.604583740234375
108,1697,47.93988037109375,47.851593017578125,43.462860107421875,52.301849365234375
070,1925,48.77596664428711,49.31793212890625,43.268035888671875,53.942535400390625
071,1706,49.542816162109375,49.42388916015625,45.787139892578125,54.386871337890625
074,1059,49.30238723754883,49.478607177734375,45.02490234375,55.572906494140625
077,641,50.124961853027344,50.210052490234375,46.815948486328125,52.342864990234375
069,1162,49.79115295410156,49.750335693359375,47.427764892578125,52.5240478515625
076,676,49.689117431640625,50.073333740234375,45.103515625,51.532806396484375
064,1770,50.13595199584961,49.957122802734375,47.810577392578125,52.9512939453125
075,1058,48.525535583496094,48.61383056640625,45.20263671875,50.633880615234375
073,1032,49.9736442565918,49.938323974609375,45.1103515625,53.874176025390625
072,1462,48.86894989013672,49.476898193359375,41.654754638671875,53.2896728515625
147,2284,50.01762771606445,49.786224365234375,45.605987548828125,53.963043212890625
148,990,50.046085357666016,50.102386474609375,46.757843017578125,53.1119384765625
149,1576,49.20094299316406,49.41534423828125,43.538055419921875,52.240325927734375
150,3928,50.774017333984375,51.120941162109375,36.7498779296875,57.705780029296875
151,1848,50.081809997558594,50.052825927734375,42.936492919921875,53.836578369140625
155,1714,48.76177978515625,48.98809814453125,43.384246826171875,51.720794677734375
